TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
1,2024/04/03,4189.27,688,refund,San Antonio,0
2,2024/03/19,2659.71,109,refund,Dallas,0
3,2024/01/08,784,394,purchase,New York,0
4,2024/04/13,3514.4,944,purchase,Philadelphia,0
5,2024/07/12,369.07,475,purchase,Phoenix,0
6,2024/08/30,3086.22,302,purchase,New York,0
7,2024/01/02,1466.9,902,refund,Philadelphia,0
8,2024/05/12,917.21,266,purchase,New York,0
9,2023/11/16,1625.73,32,refund,Chicago,0
10,2023/10/24,662.07,193,purchase,Dallas,0
11,2024/08/10,3895.94,349,refund,San Antonio,0
12,2024/08/27,944.94,359,purchase,San Jose,0
13,2024/08/31,2855.69,219,refund,New York,0
14,2023/11/12,4313.82,617,refund,San Jose,0
15,2024/07/13,4599.06,529,refund,Philadelphia,0
16,2024/03/23,1524.05,462,purchase,San Diego,0
17,2024/01/04,2721.95,912,refund,New York,0
18,2023/11/05,1357.76,522,refund,New York,0
19,2024/02/29,4726.01,456,purchase,Dallas,0
20,2024/01/16,1814.95,134,refund,Houston,0
21,2024/01/19,269.8,51,refund,San Jose,0
22,2024/05/18,512.1,196,purchase,Philadelphia,0
23,2024/04/13,2932.64,813,refund,Chicago,0
24,2024/03/22,1177.11,878,refund,Philadelphia,0
25,2024/07/15,3661.74,521,purchase,Dallas,0
26,2024/10/10,3664.95,348,purchase,San Antonio,0
27,2024/09/22,4186.42,725,purchase,New York,0
28,2024/08/18,1542.27,44,purchase,Houston,0
29,2024/06/23,4360.74,605,refund,Chicago,0
30,2024/06/12,862.62,347,purchase,San Diego,0
31,2024/07/24,1062.73,595,refund,Chicago,0
32,2024/07/04,4162.63,163,purchase,San Jose,0
33,2024/07/22,3439.54,781,refund,San Antonio,0
34,2024/06/08,3953.72,510,purchase,Phoenix,0
35,2024/05/17,516.14,469,refund,San Diego,0
36,2024/07/28,1069.35,322,refund,Phoenix,0
37,2024/04/09,1951.61,991,refund,Philadelphia,0
38,2024/05/27,2084.95,369,refund,San Jose,0
39,2024/08/09,3204.04,663,purchase,Houston,0
40,2023/12/09,58.49,284,refund,Philadelphia,0
41,2024/02/19,3472.91,788,refund,San Diego,0
42,2024/08/07,1488.04,207,purchase,Los Angeles,0
43,2024/03/13,774.15,661,refund,Dallas,0
44,2024/03/26,2346.77,31,refund,Houston,0
45,2024/06/14,616.82,4,refund,Los Angeles,0
46,2024/07/21,2052.8,980,refund,Houston,0
47,2024/05/22,4833.08,251,refund,Chicago,0
48,2024/09/25,4652.12,334,purchase,San Diego,0
49,2024/09/07,2486.55,978,refund,Phoenix,0
